Type;Model;Reference;Label;Color;length;Diameter;x;y;z;Type
Connector;LUM1;111;WH1;White;;;32.9;14.64;46.55;
Connector;LUM2;111;WH2;White;;;32.9;14.64;46.55;
Cable;;;CA1;Yellow;500;5.1;;;;
Cable;;;CA2;Green;500;5.1;;;;
Cable;;;CA3;Blue;500;5.1;;;;
Cable;;;CA4;White;500;5.1;;;;
Cable;;;CA5;Yellow;500;5.1;;;;
Cable;;;CA6;Green;500;5.1;;;;
Cable;;;CA7;Blue;500;5.1;;;;
Cable;;;CA8;White;500;5.1;;;;
Cable;;;CA9;Red;500;5.1;;;;
Cable;;;CA10;Black;500;5.1;;;;
Cable;;;CA11;Grey;500;5.1;;;;
